name,one_liner,website,team_size,batch,location,industry,tags
Stripe,Economic infrastructure for the internet.,http://stripe.com,7000.0,Summer 2009,"San Francisco, CA, USA",Fintech,Banking as a Service; Fintech; SaaS
Deel,The all-in-one HR and payroll platform for global teams,https://www.deel.com/,5000.0,Winter 2019,"San Francisco, CA, USA; Remote",B2B,Fintech; SaaS; B2B; HR Tech; Payroll
Flexport,Platform for global logistics.,https://www.flexport.com/careers/jobs/,3000.0,Winter 2014,"San Francisco, CA, USA",B2B,SaaS; Logistics; Supply Chain
Razorpay,India's only full-stack financial solutions company for businesses.,https://razorpay.com,2700.0,Winter 2015,"Bengaluru, KA, India",Fintech,Banking as a Service; Fintech; Payments; India
Rippling,"One place to run all your HR, IT, and Finance. Globally.",http://rippling.com/,2500.0,Winter 2017,"San Francisco, CA, USA",B2B,HR Tech
Flock Safety,The first public safety operating system that eliminates crime.,http://www.flocksafety.com,1000.0,Summer 2017,"Atlanta, GA, USA",B2B,Hardware; Machine Learning; SaaS
Athelas,"Extensible, Integrated Technology that Simplifies Health Systems",http://athelas.com,1000.0,Summer 2016,"Mountain View, CA, USA",Healthcare,SaaS; Health Tech; Telehealth; Healthcare; AI
Podium,Get more leads. Make more money. ,https://podium.com,1000.0,Winter 2016,"Lehi, UT, USA",B2B,Fintech; SaaS; B2B; AI
Faire,The global online platform empowering independent retail.,https://www.faire.com/,900.0,Winter 2017,"San Francisco, CA, USA",B2B,Marketplace; Retail
Apollo.io,Apollo is the foundation of your entire go-to-market strategy.,https://www.apollo.io/,800.0,Winter 2016,"San Francisco, CA, USA; Remote",B2B,Sales; Marketing
Checkr,People infrastructure for the future of work,http://www.checkr.com,800.0,Summer 2014,"San Francisco, CA, USA",B2B,Artificial Intelligence; Compliance; HR Tech; API; Enterprise Software
Human Interest,The 401(k) for small and medium-sized businesses.,http://humaninterest.com,765.0,Summer 2015,"San Francisco, CA, USA; Remote",B2B,Fintech; SaaS; Human Resources; HR Tech; Investing
Vanta,Vanta—the proven leader in automated compliance helping startups…,https://vanta.com,700.0,Winter 2018,"San Francisco, CA, USA",B2B,B2B; Compliance; Security
Xendit,Provides payment infrastructure for Southeast Asia,https://www.xendit.co/,700.0,Summer 2015,"Jakarta, Jakarta, Indonesia",Fintech,Fintech; Payments
Go1,A learning platform that enables you to train your staff or customers.,https://go1.com,650.0,Summer 2015,"San Francisco, CA, USA",B2B,eLearning
Helloverify,Helloverify is a background screening platform (Checkr for India).  ,https://www.helloverify.com,600.0,Winter 2018,"Noida, UP, India",B2B,Artificial Intelligence
Tractian,Fine tuning heavy machinery via AI,https://tractian.com,530.0,Winter 2021,"Atlanta, GA, USA",Industrials,SaaS; IoT; B2B; AI
